"%s and greater","%s a více"
"<strong>%d item(s)</strong> were found using the following search criteria","Nalezených položek odpovídajících zadaným kritériům: <strong>%d</strong>"
"Advanced Search","Pokročilé vyhledávání"
"Advanced Search Form","Pokročilé vyhledávání"
"Advanced Search Result","Výsledky pokročilého vyhledávání"
"All","Vše"
"Applies for ""Like"" Search type only","Platí pouze pro typ vyhledávání ""stejný"""
"Apply Layered Navigation if search results are less than","Použít vrstvu navigace, pokud vyhledávání vrátí více výsledků než"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Změna nastavení vlastností souvisí s vyhledávacím indexem. Prosím stusťte <a href=""%s"">Přegenerovat vyhledávací index</a>"
"Autogenerated site map","Automaticky vytvořit mapu stránek"
"Catalog Advanced Search","Pokročilé hledání v katalogu"
"Catalog Search","Hledání v katalogu"
"Catalog Search Index","Vyhledávací index katalogu"
"Don't see what you're looking for?","Nenašli jste co jste hledali?"
"Go","Jdi"
"Go to Home Page","Na hlavní stránku"
"Grid","Tabulka"
"Home","Domů"
"List","Seznam"
"Maximum Query Length","Maximální délka dotazu"
"Maximum Query Words Count","Maximální počet slov v dotazu"
"Maximum Search query  length is %s. Your query was cut.","Maximální délka dotazu je %s. Váš dotaz bude zkrácen."
"Minimal Query Length","Minimální délka dotazu"
"Minimum Search query length is %s","Minimální délka vyhledávacího dotazu je: %s"
"Modify your search","Upravte své vyhledávání"
"No","Ne"
"No items were found using the following search criteria.","Hledaným požadavkům neodpovídá žádná položka."
"Please enter ""0"" to enable layered navigation for any number of results","Vložte ""0"" pro povolení všech číselných výsledků"
"Popular Search Terms","Často hledané výrazy"
"Popular search terms","Často hledané výrazy"
"Quick Search Form","Rychlé vyhledávání"
"Rebuild Catalog product fulltext search index","Přegenerovat fultextový vyhledávací index katalogu"
"Relevance","Relevance"
"Results","Výsledky"
"Search","Hledání"
"Search Settings","Nastavení hledání"
"Search Terms","Hledané výrazy"
"Search Type","Hledané typy"
"Search entire store here...","Hledat v tomto obchodu..."
"Search results for '%s'","Výsledky hledání pro '%s'"
"Search results for: '%s'","Výsledky hledání pro: '%s'"
"Search:","Hledání:"
"Subscribe to Feed","Odebírat zdroj"
"There are no search terms available.","Žádné dostupné vyhledávané termíny."
"Yes","Ano"
"You have to specify at least one search term","Musíte definovat alespoň jeden vyhledávaný termín"
"Your search returns no results.","Hledání nenašlo žádné výsledky."
"up to %s","do %s"
